game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
9231,5,14,AllGrid,3,50,10,46,42,"Hit(CW,5,TOUCH)",4018,271.209,A1,1.86,2.025,0.1649999999999998
1825,5,7,AllGrid,3,50,10,46,41,"Freeze(CCW,2)",27971,1222.9,A1,0.575,0.865,0.29000000000000004
4062,4,15,AllGrid,3,50,10,46,35,"Hit(CCW,2,WEAK)",117,8.35141,A1,-1.275,-0.475,0.7999999999999999
9882,2,11,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",16322,974.016,A1,0.27,1.295,1.025
2998,6,14,AllGrid,3,50,10,46,41,"Freeze(CCW,1)",6155,540.343,A1,2.525,2.895,0.3700000000000001
1555,2,3,AllGrid,3,50,10,46,1,"Draw(CCW,TEE)",40893,1554.72,A1,0.645,1.1,0.45500000000000007
4372,4,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",2176,122.652,A1,0.005,0.095,0.09
3732,7,7,AllGrid,3,50,10,46,16,"Draw(CW,L3)",25602,934.971,A1,0.695,1.125,0.43000000000000005
3858,5,5,AllGrid,3,50,10,46,10,"Draw(CW,L0)",35550,1536.52,A1,0.64,0.885,0.245
1938,0,14,AllGrid,3,50,10,46,46,"Hit(CW,11,MIDDLE)",4425,322.047,A1,-0.08,1.43,1.51
9112,3,9,AllGrid,3,50,10,46,6,"Draw(CW,S4)",20472,949.214,A1,0.0,0.76,0.76
4157,3,12,AllGrid,3,50,10,46,45,"Hit(CCW,5,WEAK)",12384,789.583,A1,-1.99,-0.705,1.2850000000000001
7373,1,11,AllGrid,3,50,10,46,15,"Draw(CCW,L2)",15778,913.421,A1,0.445,1.175,0.73
7173,4,15,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",151,15.6746,A1,1.84,2.0,0.15999999999999992
196,4,4,AllGrid,3,50,10,46,16,"Draw(CW,L3)",37675,1422.91,A1,-1.025,-0.22,0.8049999999999999
2630,2,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",2781,156.953,A1,-1.075,-1.07,0.004999999999999893
5731,2,10,AllGrid,3,50,10,46,35,"Hit(CCW,9,WEAK)",13904,540.86,A1,-0.705,-0.555,0.1499999999999999
9518,4,5,AllGrid,3,50,10,46,38,"Hit(CW,0,STRONG)",35394,1426.08,A1,0.56,0.985,0.42499999999999993
8211,7,12,AllGrid,3,50,10,46,10,"Draw(CW,L0)",10401,570.113,A1,-1.205,-0.815,0.3900000000000001
7977,6,14,Proposed,3,50,10,42,46,"Hit(CW,3,MIDDLE)",3938,540.615,A2,-3.235,-1.635,1.5999999999999999
3926,6,11,Proposed,3,50,10,42,87,"Hit(CCW,10,MIDDLE)",15819,1513.36,A2,-0.605,0.425,1.03
3883,1,14,Proposed,3,50,10,42,18,"Draw(CW,L4)",367,24.55,A2,-0.355,-0.075,0.27999999999999997
9222,7,5,Proposed,3,50,10,42,7,"Draw(CCW,S4)",32010,1632.83,A2,0.665,1.315,0.6499999999999999
7881,2,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",129,16.386,A2,-1.005,1.72,2.7249999999999996
6406,1,10,Proposed,3,50,10,42,0,"Draw(CW,TEE)",15133,1030.28,A2,-0.385,-0.385,0.0
8452,5,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",153,26.6693,A2,1.445,1.935,0.49
1028,6,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",151,26.3473,A2,0.77,1.0,0.22999999999999998
2596,1,14,Proposed,3,50,10,42,86,"Hit(CW,11,MIDDLE)",4096,578.266,A2,0.65,1.97,1.3199999999999998
4748,1,3,Proposed,3,50,10,42,11,"Draw(CCW,L0)",39812,2111.71,A2,0.54,0.985,0.44499999999999995
9206,3,13,Proposed,3,50,10,42,36,"Hit(CW,12,MIDDLE)",3322,249.284,A2,1.245,1.73,0.4849999999999999
5859,1,6,Proposed,3,50,10,42,34,"Hit(CW,1,WEAK)",29974,1856.57,A2,-0.39,-0.015,0.375
6871,4,5,Proposed,3,50,10,42,8,"Draw(CW,S6)",34300,2113.93,A2,0.82,1.32,0.5000000000000001
7163,3,13,Proposed,3,50,10,42,7,"Draw(CCW,S4)",5040,445.228,A2,1.79,2.465,0.6749999999999998
5807,0,8,Proposed,3,50,10,42,56,"Hit(CW,7,MIDDLE)",24245,1643.95,A2,-0.76,0.03,0.79
5567,2,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",129,19.1359,A2,1.535,1.93,0.395
2507,3,11,Proposed,3,50,10,42,61,"Hit(CCW,8,MIDDLE)",14808,1275.89,A2,0.815,1.715,0.9000000000000001
7006,3,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",145,28.8476,A2,-1.0,-0.97,0.030000000000000027
1984,6,4,Proposed,3,50,10,42,7,"Draw(CCW,S4)",36437,2098.21,A2,-0.595,-0.31,0.285
1845,7,14,Proposed,3,50,10,42,48,"PostGuard(CW,12,0)",800,66.2521,A2,1.005,1.44,0.43500000000000005
5780,2,6,Proposed,3,50,10,42,37,"Hit(CCW,5,MIDDLE)",29146,1655.62,A2,-0.75,-0.375,0.375
8645,7,5,Proposed,3,50,10,42,41,"Freeze(CCW,0)",34277,2121.09,A2,0.775,0.92,0.14500000000000002
6132,0,13,Proposed,3,50,10,42,44,"Hit(CW,10,WEAK)",6553,666.206,A2,2.135,2.62,0.4850000000000003
3339,4,10,Proposed,3,50,10,42,62,"PostGuard(CW,6,2)",16429,1102.88,A2,-0.995,-0.305,0.69
3566,6,14,Proposed,3,50,10,42,55,"Hit(CCW,7,WEAK)",3121,445.954,A2,0.45,1.01,0.56
5523,3,9,Proposed,3,50,10,42,55,"Hit(CCW,4,WEAK)",21270,1706.55,A2,0.74,0.74,0.0
7015,5,14,Proposed,3,50,10,42,11,"Draw(CCW,L0)",4010,551.492,A2,-1.135,-1.135,0.0
743,7,3,Proposed,3,50,10,42,54,Pass,40477,2206.15,A2,0.415,0.98,0.565
1014,4,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",61,4.58476,A2,1.035,3.325,2.29
3900,0,10,Proposed,3,50,10,42,0,"Draw(CW,TEE)",14783,973.775,A2,0.305,0.305,0.0
4543,6,5,Proposed,3,50,10,42,34,"Hit(CW,0,WEAK)",34210,2089.28,A2,0.71,1.09,0.3800000000000001
9231,5,14,Proposed,3,50,10,42,10,"Draw(CW,L0)",1926,198.748,A2,1.14,2.025,0.885
1825,5,7,Proposed,3,50,10,42,1,"Draw(CCW,TEE)",27177,1830.63,A2,0.79,0.865,0.07499999999999996
4062,4,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",117,14.8075,A2,-1.995,-0.475,1.52
9882,2,11,Proposed,3,50,10,42,64,"Hit(CW,8,WEAK)",15126,1474.7,A2,0.225,1.295,1.0699999999999998
2998,6,14,Proposed,3,50,10,42,57,"Hit(CCW,5,MIDDLE)",3970,587.127,A2,2.82,2.895,0.07500000000000018
1555,2,3,Proposed,3,50,10,42,8,"Draw(CW,S6)",40235,2195.42,A2,0.635,1.1,0.4650000000000001
4372,4,14,Proposed,3,50,10,42,19,"Draw(CCW,L4)",603,45.0289,A2,0.02,0.095,0.075
3732,7,7,Proposed,3,50,10,42,8,"Draw(CW,S6)",25430,1351.35,A2,0.685,1.125,0.43999999999999995
3858,5,5,Proposed,3,50,10,42,41,"Freeze(CCW,0)",34691,2183.12,A2,0.695,0.885,0.19000000000000006
1938,0,14,Proposed,3,50,10,42,54,"Hit(CW,13,WEAK)",2076,246.572,A2,1.175,1.43,0.2549999999999999
9112,3,9,Proposed,3,50,10,42,56,"Hit(CW,6,MIDDLE)",19231,1302.93,A2,0.695,0.76,0.06500000000000006
4157,3,12,Proposed,3,50,10,42,36,"Hit(CW,3,MIDDLE)",10751,1064.02,A2,-0.705,-0.705,0.0
7373,1,11,Proposed,3,50,10,42,33,"Hit(CCW,2,TOUCH)",14346,1302.06,A2,1.09,1.175,0.08499999999999996
7173,4,15,Proposed,3,50,10,42,0,"Draw(CW,TEE)",151,33.9688,A2,1.84,2.0,0.15999999999999992
196,4,4,Proposed,3,50,10,42,44,"PostGuard(CW,2,1)",36945,1996.51,A2,-0.385,-0.22,0.165
2630,2,14,Proposed,3,50,10,42,33,"Hit(CCW,11,TOUCH)",867,66.9099,A2,-1.445,-1.07,0.375
5731,2,10,Proposed,3,50,10,42,13,"Draw(CCW,L1)",14286,782.406,A2,-0.94,-0.555,0.3849999999999999
9518,4,5,Proposed,3,50,10,42,37,"Hit(CCW,0,MIDDLE)",34296,2133.21,A2,0.605,0.985,0.38
8211,7,12,Proposed,3,50,10,42,65,"Hit(CCW,11,WEAK)",9097,717.641,A2,-1.605,-0.815,0.79
7977,6,14,Proposed,3,50,10,43,46,"Hit(CW,3,MIDDLE)",3938,544.275,A2,-3.235,-1.635,1.5999999999999999
3926,6,11,Proposed,3,50,10,43,87,"Hit(CCW,10,MIDDLE)",15298,1455.91,A2,-0.605,0.425,1.03
3883,1,14,Proposed,3,50,10,43,18,"Draw(CW,L4)",367,24.7007,A2,-0.355,-0.075,0.27999999999999997
9222,7,5,Proposed,3,50,10,43,12,"Draw(CW,L1)",32298,1620.31,A2,0.885,1.315,0.42999999999999994
7881,2,15,Proposed,3,50,10,43,0,"Draw(CW,TEE)",129,15.3514,A2,-1.005,1.72,2.7249999999999996
6406,1,10,Proposed,3,50,10,43,0,"Draw(CW,TEE)",15071,1030.85,A2,-0.385,-0.385,0.0
8452,5,15,Proposed,3,50,10,43,0,"Draw(CW,TEE)",153,27.2992,A2,1.445,1.935,0.49
1028,6,15,Proposed,3,50,10,43,0,"Draw(CW,TEE)",151,27.8424,A2,0.77,1.0,0.22999999999999998
2596,1,14,Proposed,3,50,10,43,86,"Hit(CW,11,MIDDLE)",4096,591.159,A2,0.65,1.97,1.3199999999999998
