group,level,target,n,mean,se,median,kruskal_p
no1_mine,1,dadj_A9R05_A9P5,90,0.022128010000000007,0.01987281011630311,0.0,0.48217086455475033
no1_mine,-1,screen_loss,2,0.2109999999999999,0.02600000000000001,0.2109999999999999,0.9657825103351245
no1_mine,0,screen_loss,108,0.3042407407407407,0.04180763044023259,0.2,0.9657825103351245
no1_mine,1,screen_loss,90,0.23345555555555556,0.01884857963044355,0.2179999999999999,0.9657825103351245
no1_mine,-1,rho_gain,2,0.23147289002786636,0.15749869563698604,0.23147289002786636,0.5868471676618929
no1_mine,0,rho_gain,106,0.07529730775141588,0.023619714807925327,0.094693111500945,0.5868471676618929
no1_mine,1,rho_gain,90,0.0787653338893161,0.026077099982662697,0.0963865546658347,0.5868471676618929
no1_mine,-1,eta2_q,2,0.5461247066465829,0.09106748676626022,0.5461247066465829,0.4256137426522524
no1_mine,0,eta2_q,108,0.5132742422296082,0.025058830683180846,0.5574956203239074,0.4256137426522524
no1_mine,1,eta2_q,90,0.47084228121170885,0.02569476315969169,0.49431296132973457,0.4256137426522524
best_type_is_hit,0,d_A9P5_A1,96,0.051427083333333325,0.023622352004165438,0.0,0.06274206516358741
best_type_is_hit,1,d_A9P5_A1,104,-0.032067307692307694,0.03209765969829219,0.0,0.06274206516358741
best_type_is_hit,0,d_A9P5_A2,96,-0.05008333333333332,0.03948881605679324,-0.04599999999999995,0.7916613840937878
best_type_is_hit,1,d_A9P5_A2,104,-0.14279807692307694,0.05804034254655572,-0.015000000000000048,0.7916613840937878
best_type_is_hit,0,d_A2_A1,96,0.10151041666666666,0.0452984934366448,0.014,0.36591105982807426
best_type_is_hit,1,d_A2_A1,104,0.11073076923076927,0.06416318527632349,0.0,0.36591105982807426
best_type_is_hit,0,d_A9R05_A9P5,96,0.030031250000000006,0.015798147328678774,0.0,0.8415351347106981
best_type_is_hit,1,d_A9R05_A9P5,104,0.019067307692307692,0.012275194819064236,0.0,0.8415351347106981
best_type_is_hit,0,dadj_A9R05_A9P5,96,0.025199932291666657,0.017917056566647438,0.0,0.9686911479366632
